"Parameter","Name","Type","z","mu","sigma","llim","ulim",
0,"intcal20","NoOp",,,,-53054.5,1960.5,
1,,"NoOp",,,,NaN,NaN,
2,,"NoOp",,,,NaN,NaN,
3,"Start Phase","Boundary",,-4073.74,67.1028,-6669.5,-2899.5,
4,"Start of Start Phase","Start",,-4345.97,58.1113,-10439.5,-2899.5,
5,"Period of Start Phase","Transition",,544.445,176.726,0,3770,
6,"End of Start Phase","End",,-3801.52,145.755,-6669.5,870.5,
7,,"NoOp",,,,NaN,NaN,
8,"id1","R_Date",,-3822.52,89.6198,-4354.5,-3354.5,
9,"id2","R_Date",,-3767,82.0595,-4234.5,-3359.5,
10,"id3","R_Date",,-4271.25,73.5304,-4784.5,-3979.5,
11,"id4","R_Date",,-3751.43,69.8691,-4044.5,-3514.5,
12,"id5","R_Date",,-3864.64,46.3529,-4049.5,-3649.5,
13,"id6","R_Date",,-3819.58,75.9537,-4059.5,-3529.5,
14,"id7","R_Date",,-3813.68,90.056,-4349.5,-3354.5,
15,"id8","R_Date",,-4044.27,100.419,-4544.5,-3624.5,
16,"id9","R_Date",,-3794.34,90.242,-4344.5,-3349.5,
17,"id10","R_Date",,-3638.34,23.8934,-3784.5,-3504.5,
18,"id11","R_Date",,-3846.43,74.8478,-4329.5,-3514.5,
19,"id12","R_Date",,-3827.71,79.2817,-4319.5,-3504.5,
20,"id13","R_Date",,-3833.16,89.9144,-4354.5,-3359.5,
21,"id14","R_Date",,-3609.21,52.6794,-4049.5,-2909.5,
22,"id15","R_Date",,-3848,64.4011,-4169.5,-3624.5,
23,"id16","R_Date",,-3796.07,90.243,-4344.5,-3349.5,
24,"id17","R_Date",,-3591.86,26.1662,-3659.5,-3359.5,
25,"id18","R_Date",,-3901.6,80.8072,-4349.5,-3619.5,
26,"id19","R_Date",,-3691.38,31.1018,-3949.5,-3529.5,
27,"id20","R_Date",,-3745.69,77.1933,-4224.5,-3359.5,
28,"id21","R_Date",,-4053.81,67.3842,-4349.5,-3779.5,
29,"id22","R_Date",,-3851.01,62.8601,-4169.5,-3624.5,
30,"id23","R_Date",,-3665.22,23.6478,-3804.5,-3514.5,
31,"id24","R_Date",,-3753.92,79.3927,-4229.5,-3359.5,
32,"id25","R_Date",,-3593.46,31.5012,-3799.5,-3344.5,
33,"id26","R_Date",,-3852.74,91.0741,-4364.5,-3364.5,
34,"id27","R_Date",,-3737.87,43.5813,-3964.5,-3624.5,
35,"id28","R_Date",,-3779.79,83.7198,-4239.5,-3364.5,
36,"id29","R_Date",,-3776.59,90.0639,-4334.5,-3344.5,
37,"id30","R_Date",,-3608.53,51.8545,-4049.5,-2904.5,
38,"id31","R_Date",,-3594.65,35.3809,-3959.5,-3079.5,
39,"id32","R_Date",,-3967.03,91.103,-4359.5,-3629.5,
40,"id33","R_Date",,-3851.71,90.8129,-4364.5,-3364.5,
41,"id34","R_Date",,-3684.05,26.5563,-3949.5,-3524.5,
42,"id35","R_Date",,-3850.15,90.5525,-4364.5,-3364.5,
43,"id36","R_Date",,-4126.74,63.4955,-4449.5,-3934.5,
44,"id37","R_Date",,-4122.83,63.3381,-4369.5,-3934.5,
45,"id38","R_Date",,-3851.03,90.973,-4364.5,-3364.5,
46,"id39","R_Date",,-4011.09,29.2688,-4249.5,-3799.5,
47,"id40","R_Date",,-3853.4,91.2605,-4364.5,-3364.5,
48,"id41","R_Date",,-3831.11,89.9531,-4354.5,-3359.5,
49,"id42","R_Date",,-3882.52,60.4117,-4244.5,-3634.5,
50,"id43","R_Date",,-3592.84,34.3517,-3959.5,-3019.5,
51,"id44","R_Date",,-3819.8,89.897,-4349.5,-3354.5,
52,"id45","R_Date",,-3813.43,89.9456,-4349.5,-3354.5,
53,"id46","R_Date",,-3604.49,48.835,-4044.5,-2904.5,
54,"id47","R_Date",,-3596.28,36.5862,-3964.5,-3084.5,
55,"id48","R_Date",,-3695.73,33.5462,-3954.5,-3619.5,
56,"id49","R_Date",,-4075.14,91.0402,-4554.5,-3629.5,
57,"id50","R_Date",,-3852.48,90.8294,-4364.5,-3364.5,
58,"id51","R_Date",,-3607.48,51.0465,-4049.5,-2904.5,
59,"id52","R_Date",,-4042.9,64.2689,-4344.5,-3769.5,
60,"id53","R_Date",,-4256.34,51.3567,-4444.5,-4034.5,
61,"id54","R_Date",,-3718.28,53.5776,-3984.5,-3504.5,
62,"id55","R_Date",,-3671.41,64.5726,-4044.5,-3339.5,
63,"id56","R_Date",,-3750.88,88.4482,-4324.5,-3324.5,
64,"id57","R_Date",,-3745.36,76.933,-4224.5,-3359.5,
65,"id58","R_Date",,-4123.84,53.3967,-4344.5,-3964.5,
66,"id59","R_Date",,-4116.24,73.799,-4504.5,-3764.5,
67,"id60","R_Date",,-3849.37,90.7846,-4364.5,-3364.5,
68,"id61","R_Date",,-3978.11,61.8933,-4329.5,-3649.5,
69,"id62","R_Date",,-3711.6,38.6676,-3959.5,-3624.5,
70,"id63","R_Date",,-3601.15,38.806,-3719.5,-3364.5,
71,"id64","R_Date",,-4005.4,54.1587,-4339.5,-3699.5,
72,"id65","R_Date",,-3595.64,36.2094,-3964.5,-3079.5,
73,"id66","R_Date",,-3867.19,49.3116,-3994.5,-3639.5,
74,"id67","R_Date",,-3862.17,56.2059,-4234.5,-3624.5,
75,"id68","R_Date",,-3866.76,54.9206,-4239.5,-3629.5,
76,"id69","R_Date",,-3591.47,27.0315,-3659.5,-3359.5,
77,"id70","R_Date",,-3842.05,90.1509,-4359.5,-3359.5,
78,"id71","R_Date",,-3601.19,45.7664,-3994.5,-2899.5,
79,"id72","R_Date",,-4127.27,82.6845,-4694.5,-3644.5,
80,"id73","R_Date",,-3857.46,58.5905,-4229.5,-3624.5,
81,"id74","R_Date",,-3805.37,90.4291,-4344.5,-3354.5,
82,"id75","R_Date",,-3700.06,35.5014,-3959.5,-3619.5,
83,"id76","R_Date",,-3712.97,38.7997,-3959.5,-3624.5,
84,"id77","R_Date",,-3852.73,61.7252,-4224.5,-3624.5,
85,"id78","R_Date",,-4124.86,53.9383,-4344.5,-3964.5,
86,"id79","R_Date",,-3735.71,87.4784,-4254.5,-3119.5,
87,"id80","R_Date",,-3843.83,75.3156,-4329.5,-3509.5,
88,"End Phase","Boundary",,-3558.31,25.8837,-4784.5,-1014.5,
89,"Start of End Phase","Start",,-3608.39,50.6701,-8554.5,-1014.5,
90,"Period of End Phase","Transition",,100.167,74.4543,0,3770,
91,"End of End Phase","End",,-3508.22,39.2962,-4784.5,2755.5,
