"Parameter","Name","Type","z","mu","sigma","llim","ulim",
0,"intcal20","NoOp",,,,-53054.5,1960.5,
1,,"NoOp",,,,NaN,NaN,
2,,"NoOp",,,,NaN,NaN,
3,"Start Phase","Boundary",,-4117.68,37.9837,-6669.5,-4034.5,
4,,"NoOp",,,,NaN,NaN,
5,"id1","R_Date",,-3831.44,90.3471,-4354.5,-3354.5,
6,"id2","R_Date",,-3773.48,84.9511,-4234.5,-3359.5,
7,"id3","R_Date",,-4088.24,35.578,-4784.5,-3979.5,
8,"id4","R_Date",,-3755.69,72.7678,-4044.5,-3514.5,
9,"id5","R_Date",,-3868.41,47.3797,-4049.5,-3649.5,
10,"id6","R_Date",,-3826.22,76.0783,-4059.5,-3529.5,
11,"id7","R_Date",,-3822.55,90.9014,-4349.5,-3354.5,
12,"id8","R_Date",,-4015.22,72.1072,-4544.5,-3624.5,
13,"id9","R_Date",,-3802.61,92.2488,-4344.5,-3349.5,
14,"id10","R_Date",,-3637.88,24.424,-3784.5,-3504.5,
15,"id11","R_Date",,-3853.94,74.5566,-4329.5,-3514.5,
16,"id12","R_Date",,-3835.29,79.4763,-4319.5,-3504.5,
17,"id13","R_Date",,-3842.5,89.6968,-4354.5,-3359.5,
18,"id14","R_Date",,-3609.7,49.7265,-4049.5,-2909.5,
19,"id15","R_Date",,-3853.5,63.8605,-4169.5,-3624.5,
20,"id16","R_Date",,-3804.89,92.1181,-4344.5,-3349.5,
21,"id17","R_Date",,-3592.5,24.4497,-3659.5,-3359.5,
22,"id18","R_Date",,-3909.91,78.0007,-4349.5,-3619.5,
23,"id19","R_Date",,-3691.41,31.3358,-3949.5,-3529.5,
24,"id20","R_Date",,-3750.81,80.6364,-4224.5,-3359.5,
25,"id21","R_Date",,-4028.77,41.0731,-4349.5,-3779.5,
26,"id22","R_Date",,-3856.41,62.0579,-4169.5,-3624.5,
27,"id23","R_Date",,-3665.09,23.6078,-3804.5,-3514.5,
28,"id24","R_Date",,-3759.6,82.6195,-4229.5,-3359.5,
29,"id25","R_Date",,-3593.9,29.7081,-3799.5,-3344.5,
30,"id26","R_Date",,-3861.84,89.5018,-4364.5,-3364.5,
31,"id27","R_Date",,-3739.17,45.0473,-3964.5,-3624.5,
32,"id28","R_Date",,-3786.58,85.9896,-4239.5,-3364.5,
33,"id29","R_Date",,-3784.04,92.6738,-4334.5,-3344.5,
34,"id30","R_Date",,-3609.28,49.3402,-4049.5,-2904.5,
35,"id31","R_Date",,-3596.12,32.0044,-3959.5,-3079.5,
36,"id32","R_Date",,-3966.79,75.7936,-4359.5,-3629.5,
37,"id33","R_Date",,-3860.98,89.3712,-4364.5,-3364.5,
38,"id34","R_Date",,-3684.13,26.7454,-3949.5,-3524.5,
39,"id35","R_Date",,-3859.61,89.4426,-4364.5,-3364.5,
40,"id36","R_Date",,-4077.65,33.8182,-4449.5,-3934.5,
41,"id37","R_Date",,-4075.25,35.4192,-4369.5,-3934.5,
42,"id38","R_Date",,-3860.14,89.448,-4364.5,-3364.5,
43,"id39","R_Date",,-4010.36,23.4798,-4249.5,-3799.5,
44,"id40","R_Date",,-3862.49,89.4793,-4364.5,-3364.5,
45,"id41","R_Date",,-3840.41,89.9039,-4354.5,-3359.5,
46,"id42","R_Date",,-3888.83,61.4634,-4244.5,-3634.5,
47,"id43","R_Date",,-3594.76,30.3171,-3959.5,-3019.5,
48,"id44","R_Date",,-3828.52,90.5237,-4349.5,-3354.5,
49,"id45","R_Date",,-3822.59,90.9219,-4349.5,-3354.5,
50,"id46","R_Date",,-3605.67,45.4296,-4044.5,-2904.5,
51,"id47","R_Date",,-3597.28,33.5458,-3964.5,-3084.5,
52,"id48","R_Date",,-3696.05,33.7742,-3954.5,-3619.5,
53,"id49","R_Date",,-4035.36,61.3974,-4554.5,-3629.5,
54,"id50","R_Date",,-3861.79,89.4674,-4364.5,-3364.5,
55,"id51","R_Date",,-3608.23,48.201,-4049.5,-2904.5,
56,"id52","R_Date",,-4022.74,39.2316,-4344.5,-3769.5,
57,"id53","R_Date",,-4088.5,36.5242,-4444.5,-4034.5,
58,"id54","R_Date",,-3719.76,55.5942,-3984.5,-3504.5,
59,"id55","R_Date",,-3670.22,66.4344,-4044.5,-3339.5,
60,"id56","R_Date",,-3756.82,92.2619,-4324.5,-3324.5,
61,"id57","R_Date",,-3750.8,80.5568,-4224.5,-3359.5,
62,"id58","R_Date",,-4082.93,27.1383,-4344.5,-3964.5,
63,"id59","R_Date",,-4065.08,42.498,-4504.5,-3764.5,
64,"id60","R_Date",,-3858.75,89.4914,-4364.5,-3364.5,
65,"id61","R_Date",,-3981.37,53.1971,-4329.5,-3649.5,
66,"id62","R_Date",,-3712.21,38.8407,-3959.5,-3624.5,
67,"id63","R_Date",,-3602.31,37.7717,-3719.5,-3364.5,
68,"id64","R_Date",,-4001.45,40.8101,-4339.5,-3699.5,
69,"id65","R_Date",,-3596.8,32.8671,-3964.5,-3079.5,
70,"id66","R_Date",,-3870.56,48.9923,-3994.5,-3639.5,
71,"id67","R_Date",,-3866.7,56.1858,-4234.5,-3624.5,
72,"id68","R_Date",,-3871.13,55.2966,-4239.5,-3629.5,
73,"id69","R_Date",,-3591.98,25.5667,-3659.5,-3359.5,
74,"id70","R_Date",,-3850.9,89.4878,-4359.5,-3359.5,
75,"id71","R_Date",,-3602.85,42.1546,-3994.5,-2899.5,
76,"id72","R_Date",,-4065.27,44.7811,-4694.5,-3644.5,
77,"id73","R_Date",,-3862.61,58.1496,-4229.5,-3624.5,
78,"id74","R_Date",,-3813.84,91.5844,-4344.5,-3354.5,
79,"id75","R_Date",,-3700.34,35.6424,-3959.5,-3619.5,
80,"id76","R_Date",,-3713.19,39.0001,-3959.5,-3624.5,
81,"id77","R_Date",,-3857.58,61.313,-4224.5,-3624.5,
82,"id78","R_Date",,-4083.6,26.6147,-4344.5,-3964.5,
83,"id79","R_Date",,-3740.45,91.5392,-4254.5,-3119.5,
84,"id80","R_Date",,-3851.01,75.3336,-4329.5,-3509.5,
85,"End Phase","Boundary",,-3548.89,23.7791,-3659.5,-1014.5,
