"","r","Sd","sample_size","ESS","method","Period","accuracy","precision","overallAgreement","Accuracy_agreement_prop_over_60","Mean_accuracy_agreement_over_60"
"1",0.01,20,10,10,"oxcal_trap","Holocene",80.5732484076433,553.960191082803,97.2901,1,97.2901
"2",0.01,20,40,40,"oxcal_trap","Holocene",92.7889713679746,286.548250265111,94.8589,1,94.8589
"3",0.01,20,80,80,"oxcal_trap","Holocene",87.168610816543,205.562036055143,91.6363,0.9979,91.7078
"4",0.01,50,10,10,"oxcal_trap","Holocene",83.1389183457052,632.314422057264,97.636,0.9989,97.683
"5",0.01,50,40,40,"oxcal_trap","Holocene",92.2587486744433,331.134676564157,97.2772,1,97.2772
"6",0.01,50,80,80,"oxcal_trap","Holocene",89.6076352067869,252.153764581124,95.2708,1,95.2708
"7",0.03,20,10,10,"oxcal_trap","Holocene",85.0477200424178,598.576352067868,97.236,1,97.236
"8",0.03,20,40,40,"oxcal_trap","Holocene",99.2569002123142,290.432590233546,95.3822,1,95.3822
"9",0.03,20,80,80,"oxcal_trap","Holocene",98.0932203389831,193.060911016949,92.89,1,92.89
"10",0.03,50,10,10,"oxcal_trap","Holocene",86.8504772004242,672.194591728526,98.2121,1,98.2121
"11",0.03,50,40,40,"oxcal_trap","Holocene",99.2576882290562,333.401908801697,98.9951,1,98.9951
"12",0.03,50,80,80,"oxcal_trap","Holocene",98.5153764581124,233.185047720042,97.9323,1,97.9323
"13",0.06,20,10,10,"oxcal_trap","Holocene",83.0328738069989,602.827677624602,97.3337,1,97.3337
"14",0.06,20,40,40,"oxcal_trap","Holocene",99.1516436903499,295.019088016967,95.4045,1,95.4045
"15",0.06,20,80,80,"oxcal_trap","Holocene",98.9395546129374,192.391304347826,93.3102,1,93.3102
"16",0.06,50,10,10,"oxcal_trap","Holocene",83.6691410392365,663.643160127253,98.2363,1,98.2363
"17",0.06,50,40,40,"oxcal_trap","Holocene",98.1972428419936,335.432661717922,98.9456,1,98.9456
"18",0.06,50,80,80,"oxcal_trap","Holocene",99.1507430997877,231.259023354565,98.1359,1,98.1359
"19",0.01,20,10,10,"oxcal_unif","Holocene",58.0786026200873,320.587336244541,96.4812,1,96.4812
"20",0.01,20,40,40,"oxcal_unif","Holocene",35.815991237678,147.972070098576,91.5011,1,91.5011
"21",0.01,20,80,80,"oxcal_unif","Holocene",19.4535519125683,98.0814207650273,87.0885,0.9934,87.2924
"22",0.01,50,10,10,"oxcal_unif","Holocene",61.7067833698031,384.912472647702,95.8492,1,95.8492
"23",0.01,50,40,40,"oxcal_unif","Holocene",36.7213114754098,194.527868852459,90.678,0.9956,90.8252
"24",0.01,50,80,80,"oxcal_unif","Holocene",16.4293537787514,134.513143483023,85.7777,0.9792,86.4053
"25",0.03,20,10,10,"oxcal_unif","Holocene",75.684556407448,324.287513691128,96.3723,1,96.3723
"26",0.03,20,40,40,"oxcal_unif","Holocene",67.1397379912664,152.288755458515,93.0901,1,93.0901
"27",0.03,20,80,80,"oxcal_unif","Holocene",49.2880613362541,106.826396495071,89.3657,0.9978,89.4459
"28",0.03,50,10,10,"oxcal_unif","Holocene",76.8893756845564,391.861993428258,96.5321,1,96.5321
"29",0.03,50,40,40,"oxcal_unif","Holocene",74.7540983606557,196.709836065574,94.2668,0.9978,94.3574
"30",0.03,50,80,80,"oxcal_unif","Holocene",57.8774617067834,139.853938730853,91.866,0.9945,92.0692
"31",0.06,20,10,10,"oxcal_unif","Holocene",77.8993435448578,330.106673960613,96.6313,1,96.6313
"32",0.06,20,40,40,"oxcal_unif","Holocene",81.3800657174151,156.261774370208,93.2954,1,93.2954
"33",0.06,20,80,80,"oxcal_unif","Holocene",73.9082969432314,109.0403930131,90.2132,1,90.2132
