"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.01,20,5,10,"OLE_medians","Holocene",0.894953656024717,4186.96248976812,NA,NA,NA
0.01,20,5,10,"OLE_medians","Pleistocene",0.938,4914.67055661553,NA,NA,NA
0.01,20,5,10,"OLE_resamp_caldate","Holocene",0.986611740473738,4058.45560887692,NA,NA,NA
0.01,20,5,10,"OLE_resamp_caldate","Pleistocene",1,5763.11506173883,NA,NA,NA
0.01,20,5,10,"OLE_resamp_norm","Holocene",0.995880535530381,4435.69474185134,NA,NA,NA
0.01,20,5,10,"OLE_resamp_norm","Pleistocene",1,6793.67311906123,NA,NA,NA
0.01,20,5,10,"OLE_resamp_unif","Holocene",0.998970133882595,4469.939555644,NA,NA,NA
0.01,20,5,10,"OLE_resamp_unif","Pleistocene",1,6658.6976343792,NA,NA,NA
0.01,20,5,40,"OLE_medians","Holocene",0.88259526261586,2761.51639018474,NA,NA,NA
0.01,20,5,40,"OLE_medians","Pleistocene",0.967,3684.38947934014,NA,NA,NA
0.01,20,5,40,"OLE_resamp_caldate","Holocene",0.997940267765191,2573.02981179762,NA,NA,NA
0.01,20,5,40,"OLE_resamp_caldate","Pleistocene",1,4422.21315300732,NA,NA,NA
0.01,20,5,40,"OLE_resamp_norm","Holocene",1,2913.34802178678,NA,NA,NA
0.01,20,5,40,"OLE_resamp_norm","Pleistocene",1,5510.21342239894,NA,NA,NA
0.01,20,5,40,"OLE_resamp_unif","Holocene",1,2971.57438882098,NA,NA,NA
0.01,20,5,40,"OLE_resamp_unif","Pleistocene",1,4841.86262937902,NA,NA,NA
0.01,20,5,80,"OLE_medians","Holocene",0.903192584963955,2229.97986589461,NA,NA,NA
0.01,20,5,80,"OLE_medians","Pleistocene",0.983,3254.81251755338,NA,NA,NA
0.01,20,5,80,"OLE_resamp_caldate","Holocene",0.998970133882595,2052.19944947235,NA,NA,NA
0.01,20,5,80,"OLE_resamp_caldate","Pleistocene",1,3949.42229579056,NA,NA,NA
0.01,20,5,80,"OLE_resamp_norm","Holocene",1,2480.12644034541,NA,NA,NA
0.01,20,5,80,"OLE_resamp_norm","Pleistocene",1,5064.01768198608,NA,NA,NA
0.01,20,5,80,"OLE_resamp_unif","Holocene",0.998970133882595,2554.55058235032,NA,NA,NA
0.01,20,5,80,"OLE_resamp_unif","Pleistocene",1,4163.40619476802,NA,NA,NA
0.01,20,10,10,"CRIWM","Holocene",0.183,164.833,NA,NA,NA
0.01,20,10,10,"CRIWM","Pleistocene",0.678,452.141,NA,NA,NA
0.01,20,10,10,"OLE_medians","Holocene",0.813594232749743,2013.12492492922,NA,NA,NA
0.01,20,10,10,"OLE_medians","Pleistocene",0.846,2377.51158655691,NA,NA,NA
0.01,20,10,10,"OLE_resamp_caldate","Holocene",0.899073120494336,2089.08147744973,NA,NA,NA
0.01,20,10,10,"OLE_resamp_caldate","Pleistocene",0.981,2756.70967056531,NA,NA,NA
0.01,20,10,10,"OLE_resamp_norm","Holocene",0.925849639546859,2158.38192017204,NA,NA,NA
0.01,20,10,10,"OLE_resamp_norm","Pleistocene",0.996,3136.63872769084,NA,NA,NA
0.01,20,10,10,"OLE_resamp_unif","Holocene",0.934088568486097,2189.73336971525,NA,NA,NA
0.01,20,10,10,"OLE_resamp_unif","Pleistocene",0.997,3217.41818495878,NA,NA,NA
0.01,20,10,10,"oxcal_trap","Holocene",0.805732484076433,553.960191082803,97.2900636942675,1,0.805732484076433
0.01,20,10,10,"oxcal_trap","Pleistocene",0.828,807.857,90.27352,0.912,0.834429824561403
0.01,20,10,10,"oxcal_unif","Holocene",0.580786026200873,320.587336244541,96.4811681222707,1,0.580786026200873
0.01,20,10,10,"oxcal_unif","Pleistocene",0.648,553.809,92.46439,0.975,0.646153846153846
0.01,20,10,40,"OLE_medians","Holocene",0.829042224510814,1148.22328909989,NA,NA,NA
0.01,20,10,40,"OLE_medians","Pleistocene",0.931,1607.15687176115,NA,NA,NA
0.01,20,10,40,"OLE_resamp_caldate","Holocene",0.959835221421215,1217.23534166583,NA,NA,NA
0.01,20,10,40,"OLE_resamp_caldate","Pleistocene",0.998,1955.58007212833,NA,NA,NA
0.01,20,10,40,"OLE_resamp_norm","Holocene",0.989701338825953,1326.87876805113,NA,NA,NA
0.01,20,10,40,"OLE_resamp_norm","Pleistocene",0.999,2402.91208619681,NA,NA,NA
0.01,20,10,40,"OLE_resamp_unif","Holocene",0.982492276004119,1344.50227823385,NA,NA,NA
0.01,20,10,40,"OLE_resamp_unif","Pleistocene",0.999,2163.18774382618,NA,NA,NA
