"","method","r","Sd","sample_size","ESS_group","Period","accuracy","precision"
"1","CRIWM",0.01,20,10,10,"Holocene",18.5,164.833
"2","CRIWM",0.01,20,10,10,"Pleistocene",68.1,452.141
"3","CRIWM",0.01,20,40,40,"Holocene",54,152.78
"4","CRIWM",0.01,20,40,40,"Pleistocene",71.1,386.95
"5","CRIWM",0.01,20,80,80,"Holocene",72.2,143.468
"6","CRIWM",0.01,20,80,80,"Pleistocene",54.2,356.496
"7","CRIWM",0.01,50,10,10,"Holocene",39.7,257.075
"8","CRIWM",0.01,50,10,10,"Pleistocene",73.5,482.133
"9","CRIWM",0.01,50,40,40,"Holocene",77.8,225.652
"10","CRIWM",0.01,50,40,40,"Pleistocene",72.3,407.14
"11","CRIWM",0.01,50,80,80,"Holocene",85.7,213.331
"12","CRIWM",0.01,50,80,80,"Pleistocene",50.3,374.121
"13","CRIWM",0.03,20,10,10,"Holocene",32.7,165.148
"14","CRIWM",0.03,20,10,10,"Pleistocene",80.1,448.254
"15","CRIWM",0.03,20,40,40,"Holocene",70.1,141.534
"16","CRIWM",0.03,20,40,40,"Pleistocene",62.2,370.082
"17","CRIWM",0.03,20,80,80,"Holocene",76.4,129.899
"18","CRIWM",0.03,20,80,80,"Pleistocene",31.5,337.927
"19","CRIWM",0.03,50,10,10,"Holocene",60.5,253.462
"20","CRIWM",0.03,50,10,10,"Pleistocene",81.9,476.902
"21","CRIWM",0.03,50,40,40,"Holocene",87.6,215.089
"22","CRIWM",0.03,50,40,40,"Pleistocene",57.9,393.525
"23","CRIWM",0.03,50,80,80,"Holocene",74.4,197.419
"24","CRIWM",0.03,50,80,80,"Pleistocene",26.1,364.036
"25","CRIWM",0.06,20,10,10,"Holocene",45.2,164.814
"26","CRIWM",0.06,20,10,10,"Pleistocene",83.7,460.153
"27","CRIWM",0.06,20,40,40,"Holocene",76.1,139.356
"28","CRIWM",0.06,20,40,40,"Pleistocene",49.8,366.621
"29","CRIWM",0.06,20,80,80,"Holocene",72.8,126.215
"30","CRIWM",0.06,20,80,80,"Pleistocene",20.6,335.706
"31","CRIWM",0.06,50,10,10,"Holocene",67.1,252.047
"32","CRIWM",0.06,50,10,10,"Pleistocene",82.7,478.485
"33","CRIWM",0.06,50,40,40,"Holocene",84.3,212.304
"34","CRIWM",0.06,50,40,40,"Pleistocene",49.2,392.844
"35","CRIWM",0.06,50,80,80,"Holocene",57.4,194.036
"36","CRIWM",0.06,50,80,80,"Pleistocene",16.4,359.79
"37","OLE_medians",0.01,20,10,10,"Holocene",81.3594232749742,2013.12492492922
"38","OLE_medians",0.01,20,10,10,"Pleistocene",84.6,2377.51158655691
"39","OLE_medians",0.01,20,10,5,"Holocene",89.4953656024717,4186.96248976812
"40","OLE_medians",0.01,20,10,5,"Pleistocene",93.8,4914.67055661553
"41","OLE_medians",0.01,20,40,10,"Holocene",82.9042224510814,1148.22328909989
"42","OLE_medians",0.01,20,40,10,"Pleistocene",93.1,1607.15687176115
"43","OLE_medians",0.01,20,40,40,"Holocene",74.1503604531411,1292.16546429395
"44","OLE_medians",0.01,20,40,40,"Pleistocene",85.8,1637.19753948312
"45","OLE_medians",0.01,20,40,5,"Holocene",88.259526261586,2761.51639018474
