"rCRA"	"rError"
10368	50
10063	50
10016	50
10265	50
10378	50
10021	50
10426	50
10323	50
10183	50
9973	50
10357	50
9946	50
10148	50
10370	50
10246	50
10406	50
10342	50
10256	50
10155	50
10378	50
10192	50
10104	50
10220	50
10250	50
10190	50
10396	50
10411	50
10481	50
10341	50
10233	50
9995	50
10342	50
10327	50
10349	50
9918	50
10064	50
10184	50
10044	50
10085	50
10332	50
10272	50
10480	50
9942	50
10460	50
10404	50
10334	50
10116	50
10293	50
10052	50
10189	50
10176	50
10179	50
10395	50
10367	50
10036	50
10286	50
10412	50
10385	50
10344	50
9974	50
10342	50
10205	50
10378	50
10173	50
10346	50
10267	50
10338	50
10365	50
10054	50
10315	50
10390	50
10014	50
10136	50
10303	50
10026	50
10016	50
10078	50
10074	50
10134	50
10204	50
