"Year"	"Sd"
39371	50
39134	50
39124	50
37436	50
39007	50
37492	50
38711	50
39008	50
38384	50
37141	50
37494	50
37101	50
37691	50
37467	50
38755	50
37418	50
38685	50
39152	50
38984	50
37533	50
38767	50
39229	50
38628	50
38581	50
37706	50
38205	50
38893	50
37856	50
38960	50
36976	50
37566	50
38846	50
39166	50
39086	50
38874	50
38252	50
38258	50
38005	50
37486	50
37221	50
38451	50
39235	50
38545	50
37694	50
38683	50
37552	50
39357	50
36939	50
38456	50
39362	50
37805	50
38187	50
38376	50
38759	50
39188	50
39617	50
39084	50
39242	50
38416	50
39606	50
37867	50
36720	50
37797	50
39002	50
37374	50
37591	50
37878	50
38015	50
39229	50
39452	50
38128	50
38304	50
38786	50
37922	50
39108	50
39527	50
37732	50
37472	50
38509	50
38261	50
