"rCRA"	"rError"
8812	20
8885	20
9242	20
8713	20
8836	20
8764	20
8822	20
9181	20
9043	20
9263	20
8817	20
8764	20
8897	20
8697	20
8806	20
8867	20
9002	20
8887	20
8681	20
9010	20
9014	20
8823	20
8735	20
8649	20
8764	20
8850	20
9208	20
9237	20
8786	20
8675	20
8773	20
8813	20
8726	20
8870	20
8929	20
8681	20
8665	20
8788	20
9291	20
8764	20
8893	20
8784	20
8793	20
8662	20
8847	20
9226	20
9274	20
8882	20
8747	20
8829	20
8728	20
8685	20
8900	20
9195	20
8680	20
8946	20
9041	20
9206	20
8781	20
8779	20
9232	20
9207	20
8862	20
8764	20
8912	20
8652	20
9238	20
9195	20
8627	20
8913	20
9235	20
8842	20
8873	20
9222	20
8744	20
8797	20
8720	20
9121	20
9191	20
9232	20
