"rCRA"	"rError"
9061	50
9152	50
9557	50
9134	50
9597	50
9311	50
9447	50
9326	50
9440	50
9214	50
9037	50
9343	50
8912	50
9480	50
9297	50
9363	50
9368	50
9127	50
9390	50
9406	50
9583	50
9663	50
9605	50
9149	50
9178	50
9408	50
9380	50
8783	50
8821	50
8881	50
8917	50
8864	50
9424	50
8947	50
8772	50
8972	50
8874	50
8915	50
9449	50
9358	50
9131	50
9467	50
8935	50
9137	50
9435	50
9443	50
8897	50
9383	50
9415	50
8951	50
9330	50
9201	50
9156	50
9225	50
8969	50
8842	50
8900	50
9244	50
9200	50
8860	50
9212	50
9311	50
8925	50
9282	50
9345	50
8891	50
9023	50
9516	50
9325	50
9224	50
8993	50
9037	50
9450	50
9065	50
8988	50
9147	50
9235	50
8974	50
8976	50
9481	50
