"rCRA"	"rError"
7484	50
7163	50
7082	50
7175	50
7714	50
7532	50
7718	50
7037	50
7555	50
7345	50
6830	50
7719	50
7019	50
7232	50
7279	50
7401	50
7495	50
7532	50
7736	50
6889	50
7364	50
7209	50
6907	50
7432	50
7163	50
7393	50
6991	50
7422	50
7481	50
7072	50
7287	50
7469	50
7363	50
7161	50
7542	50
7612	50
7673	50
7686	50
7516	50
7411	50
7760	50
7359	50
7464	50
6868	50
7321	50
7691	50
7724	50
7530	50
7765	50
6665	50
7702	50
7648	50
7016	50
6914	50
7711	50
7501	50
7559	50
7249	50
7807	50
7351	50
7682	50
7531	50
6825	50
7186	50
7071	50
6946	50
7729	50
7738	50
6757	50
7369	50
6975	50
7707	50
7420	50
7771	50
6877	50
7487	50
7439	50
7067	50
7530	50
7014	50
