"rCRA"	"rError"
33588	20
33676	20
33665	20
33507	20
33595	20
33605	20
33426	20
33706	20
33588	20
33577	20
33505	20
33488	20
33232	20
33651	20
33591	20
33655	20
33629	20
33234	20
33293	20
33708	20
33486	20
33663	20
33465	20
33718	20
33534	20
33499	20
33487	20
33583	20
33275	20
33702	20
33356	20
33588	20
33429	20
33553	20
33624	20
33305	20
33311	20
33363	20
33419	20
33420	20
33677	20
33604	20
33692	20
33371	20
33676	20
33375	20
33368	20
33772	20
33540	20
33381	20
33438	20
33375	20
33887	20
33256	20
33703	20
33433	20
33697	20
33718	20
33399	20
34010	20
33495	20
33408	20
33408	20
33691	20
33653	20
33724	20
33348	20
33266	20
33588	20
33317	20
33522	20
33516	20
33541	20
33349	20
33568	20
33310	20
33560	20
33383	20
33518	20
33612	20
