"rCRA"	"rError"
30370	50
30686	50
31342	50
31276	50
30750	50
31286	50
30890	50
30457	50
31199	50
30884	50
30932	50
31007	50
30602	50
30794	50
30117	50
30405	50
31055	50
30276	50
30543	50
30520	50
30733	50
30657	50
30636	50
30333	50
31418	50
30680	50
30985	50
30560	50
30536	50
30633	50
30759	50
30511	50
30692	50
31155	50
30639	50
30757	50
30606	50
31198	50
30986	50
30138	50
30649	50
30461	50
31263	50
30946	50
30876	50
30577	50
30738	50
30631	50
30546	50
30863	50
30648	50
30640	50
31043	50
30584	50
30218	50
30603	50
31021	50
31174	50
31340	50
30415	50
30831	50
30672	50
30712	50
31453	50
30657	50
30719	50
30469	50
30442	50
30752	50
30391	50
30410	50
30696	50
30714	50
30479	50
30504	50
30853	50
30445	50
30535	50
30555	50
31213	50
