"rCRA"	"rError"
32985	50
32850	50
33432	50
33084	50
33346	50
33400	50
33432	50
33399	50
33607	50
33276	50
33154	50
33568	50
33342	50
33463	50
33623	50
33355	50
33111	50
33266	50
33390	50
33544	50
33434	50
33288	50
33351	50
33295	50
33003	50
32748	50
33524	50
33145	50
32973	50
33368	50
33292	50
33303	50
33392	50
33119	50
33337	50
33560	50
33293	50
33375	50
33357	50
33221	50
33036	50
33347	50
33054	50
33149	50
33003	50
33243	50
33270	50
33308	50
33196	50
32978	50
33332	50
33150	50
33448	50
33451	50
33359	50
33336	50
33399	50
33080	50
33368	50
33191	50
33269	50
33391	50
33383	50
33393	50
33506	50
33390	50
33630	50
33151	50
32936	50
33299	50
33464	50
33440	50
33161	50
33482	50
33037	50
33621	50
33391	50
33458	50
33504	50
32824	50
