"rCRA"	"rError"
33532	20
33471	20
33377	20
33337	20
33420	20
33488	20
33295	20
33390	20
33498	20
33319	20
33177	20
33108	20
33347	20
33363	20
33045	20
33320	20
33372	20
33335	20
33524	20
33416	20
33301	20
33296	20
33359	20
33203	20
33233	20
33106	20
33476	20
33303	20
33294	20
33313	20
33412	20
33405	20
33289	20
33409	20
33450	20
33135	20
33237	20
33354	20
33346	20
33480	20
33450	20
33420	20
32942	20
33355	20
33493	20
33286	20
33474	20
33230	20
33465	20
33488	20
33060	20
33217	20
33516	20
33491	20
33247	20
33387	20
33240	20
33251	20
32909	20
33458	20
33384	20
33302	20
33478	20
33261	20
33205	20
33336	20
33372	20
33338	20
33088	20
33459	20
33269	20
33428	20
33051	20
32898	20
33353	20
33246	20
33262	20
33250	20
33212	20
33291	20
